time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ballang,ballradscale,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1719253522.290983,432.000,298.000,65.000,444.000,312.000,66.000,434.000,326.000,65.000, 0.067, 0.061,12.000,14.000,12.000,14.000,180.091,210.106,-163.894,229.451,-5637.696,317.055,319.462,239.917,106.787,61.404,481.424,-2.126, 2.131, 0.084, 0.070, 3.028,-7.530,-0.64630,142.80056,0.06962,0.01471,-0.25359,-86.00000,-0.52822,-114.00000,-0.11588,0.00000,0.00000
1719253522.36569,444.000,312.000,66.000,434.000,326.000,65.000,404.000,326.000,66.000, 0.061, 0.075,-10.000,14.000,-10.000,14.000,-163.894,229.451,-401.756, 0.000,-3185.415,-3072.780,318.622,239.325,106.568,61.291,480.542,-2.135, 2.140, 0.086, 0.030, 2.462,-7.062,-0.79716,120.21647,0.02952,0.01509,-0.33006,-86.00000,-0.66540,-84.00000,-0.11022,-1.00000,0.00000
1719253522.430631,434.000,326.000,65.000,404.000,326.000,66.000,374.000,328.000,67.000, 0.075, 0.065,-30.000, 0.000,-30.000, 0.000,-401.756, 0.000,-462.473,30.832,-935.997,475.291,318.453,239.078,106.505,61.169,479.906,-2.134, 2.139, 0.095, 0.015, 2.278,-7.384,-1.02041,103.24728,0.01521,0.01523,-0.28474,-88.00000,-0.66241,-54.00000,-0.10955,-1.00000,0.00000
1719253522.496989,404.000,326.000,66.000,374.000,328.000,67.000,350.000,334.000,65.000, 0.065, 0.066,-30.000, 2.000,-30.000, 2.000,-462.473,30.832,-361.451,90.363,1521.437,896.566,318.558,239.292,106.410,61.409,479.940,-2.136, 2.137, 0.097, 0.108, 2.200,-7.404,-1.26187,98.67117,0.10765,0.01425,-0.22041,-94.00000,-0.61938,-30.00000,-0.10889,-1.00000,0.00000
1719253522.5568168,374.000,328.000,67.000,350.000,334.000,65.000,324.000,348.000,66.000, 0.066, 0.060,-24.000, 6.000,-24.000, 6.000,-361.451,90.363,-433.896,233.636,-1208.986,2390.992,319.460,239.706,106.953,61.275,480.481,-2.128, 2.137, 0.067,-0.054, 3.269,-6.882,-1.53378,108.07405,-0.05426,0.01589,-0.11739,-108.00000,-0.64606,-4.00000,-0.11389,0.00000,0.00000
1719253522.621341,350.000,334.000,65.000,324.000,348.000,66.000,304.000,362.000,67.000, 0.060, 0.065,-26.000,14.000,-26.000,14.000,-433.896,233.636,-309.949,216.964,1920.862,-258.375,320.695,239.613,106.993,62.157,477.857,-2.150, 2.146, 0.044, 0.259, 3.021,-5.378,-1.70120,123.04471,0.25932,0.01263,-0.06976,-122.00000,-0.61634,16.00000,-0.11389,0.00000,0.00000
1719253522.691422,324.000,348.000,66.000,304.000,362.000,67.000,290.000,372.000,68.000, 0.065, 0.070,-20.000,14.000,-20.000,14.000,-309.949,216.964,-199.786,142.704,1572.071,-1059.721,320.947,239.278,106.708,62.010,480.438,-2.140, 2.129, 0.062, 0.491, 3.285,-6.646,-1.79427,135.36617,0.49129,0.01006,-0.05083,-132.00000,-0.58829,30.00000,-0.11389,0.00000,0.00000
1719253522.758255,304.000,362.000,67.000,290.000,372.000,68.000,284.000,358.000,66.000, 0.070, 0.067,-14.000,10.000,-14.000,10.000,-199.786,142.704,-89.928,-209.832,1646.550,-5283.816,321.243,238.929,107.034,61.892,479.328,-2.146, 2.139, 0.043, 0.369, 3.351,-5.680,-1.86691,123.36936,0.36882,0.01110,-0.19872,-118.00000,-0.54322,36.00000,-0.11955,1.00000,1.00000
1719253522.8228831,290.000,372.000,68.000,284.000,358.000,66.000,284.000,348.000,64.000, 0.067, 0.065,-6.000,-14.000,-6.000,-14.000,-89.928,-209.832, 0.000,-154.447,1388.912,855.406,321.460,237.413,107.971,60.526,477.951,-2.139, 2.153, 0.021,-0.204, 3.781,-4.870,-1.89255,113.84200,-0.20424,0.01694,-0.13773,-108.00000,-0.51016,36.00000,-0.12022,1.00000,2.00000
1719253522.8870661,284.000,358.000,66.000,284.000,348.000,64.000,288.000,338.000,66.000, 0.065, 0.064, 0.000,-10.000, 0.000,-10.000, 0.000,-154.447,62.321,-155.803,970.980,-21.122,320.955,237.328,107.905,60.345,478.133,-2.138, 2.154, 0.026,-0.280, 3.617,-5.004,-1.88641,103.09219,-0.27968,0.01783,-0.11009,-98.00000,-0.48879,32.00000,-0.11522,0.00000,2.00000
1719253522.952391,284.000,348.000,64.000,288.000,338.000,66.000,294.000,332.000,66.000, 0.064, 0.065, 4.000,-10.000, 4.000,-10.000,62.321,-155.803,91.848,-91.848,452.006,979.018,321.218,237.014,107.736,60.472,478.657,-2.141, 2.150, 0.028,-0.092, 3.582,-5.086,-1.84622,95.60335,-0.09172,0.01600,-0.05243,-92.00000,-0.47943,26.00000,-0.12088,1.00000,2.00000
