time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,br,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ball_target_x,ball_target_y,ballang,ballradscale,bm_pitch_angle,bm_pitch_r,bm_pitch_v,bm_roll_angle,bm_roll_r,bm_roll_v,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1720652924.144991,306.000,370.000,65.000,332.000,372.000,65.000,358.000,366.000,63.000, 0.060, 0.068,26.000, 2.000,26.000, 2.000,430.443,33.111,379.588,-87.597,-742.458,-1762.286,63.0000,320.983,239.424,107.540,59.357,489.257,-2.079, 2.086, 0.207, 0.049, 2.002,-13.335,0.00000,0.00000,-1.27788,131.60547,-0.05326,-0.05326,-0.00324,0.02447,0.02447,0.11079,0.04939,0.01739,0.34354,-126.00000,1.00000,-38.00000,-0.07792,0.00000,0.00000
1720652924.211709,332.000,372.000,65.000,358.000,366.000,63.000,382.000,358.000,65.000, 0.068, 0.067,26.000,-6.000,26.000,-6.000,379.588,-87.597,359.977,-119.992,-294.147,-485.896,65.0000,318.114,240.128,106.949,59.241,489.207,-2.078, 2.093, 0.238,-0.288, 0.941,-13.893,0.00000,0.00000,-1.08702,133.29666,-0.04922,-0.04922,-0.01438,0.03271,0.03271,0.09704,-0.28781,0.02090,0.22734,-118.00000,1.00000,-62.00000,-0.07226,-1.00000,0.00000
1720652924.290197,358.000,366.000,63.000,382.000,358.000,65.000,400.000,342.000,63.000, 0.067, 0.079,24.000,-8.000,24.000,-8.000,359.977,-119.992,229.191,-203.726,-1665.276,-1066.164,63.0000,315.119,240.634,106.598,59.034,486.882,-2.080, 2.109, 0.269,-0.858,-0.454,-14.114,0.00000,0.00000,-0.90569,129.63024,-0.04627,-0.04627,-0.04392,0.03794,0.03794,0.05603,-0.85823,0.02704,-0.20349,-102.00000,1.00000,-80.00000,-0.05459,-4.00000,0.00000
1720652924.351449,382.000,358.000,65.000,400.000,342.000,63.000,414.000,330.000,65.000, 0.079, 0.061,18.000,-16.000,18.000,-16.000,229.191,-203.726,228.638,-195.976,-9.033,126.568,65.0000,313.382,241.455,106.500,59.261,484.527,-2.086, 2.124, 0.310,-1.301,-2.196,-14.456,0.00000,0.00000,-0.76366,130.13839,-0.03995,-0.03995,-0.04245,0.04227,0.04227,0.05155,-1.30111,0.03211,-0.04550,-90.00000,0.89972,-94.00000,-0.04060,-6.00000,-1.00000
1720652924.415586,400.000,342.000,63.000,414.000,330.000,65.000,420.000,318.000,64.000, 0.061, 0.064,14.000,-12.000,14.000,-12.000,228.638,-195.976,93.600,-187.199,-2106.594,136.915,64.0000,311.524,241.726,105.589,59.729,482.139,-2.090, 2.120, 0.361,-1.331,-3.800,-15.626,0.00000,0.00000,-0.66243,126.82271,-0.03557,-0.03557,-0.04267,0.04217,0.04217,0.00990,-1.33061,0.03307,-0.08026,-78.00000,0.53920,-100.00000,-0.02527,-8.00000,-1.00000
1720652924.475177,414.000,330.000,65.000,420.000,318.000,64.000,422.000,316.000,64.000, 0.064, 0.060, 6.000,-12.000, 6.000,-12.000,93.600,-187.199,33.489,-33.489,-1006.522,2573.802,64.0000,310.882,241.934,104.986,60.598,479.952,-2.106, 2.125, 0.385,-1.224,-5.134,-15.501,0.00000,0.00000,-0.64036,127.20063,-0.03117,-0.03117,0.00400,0.04156,0.04156,-0.00887,-1.22364,0.03262,0.39736,-76.00000,0.35816,-102.00000,-0.01427,-9.00000,-1.00000
1720652924.5363278,420.000,318.000,64.000,422.000,316.000,64.000,418.000,320.000,66.000, 0.060, 0.061, 2.000,-2.000, 2.000,-2.000,33.489,-33.489,-65.410,65.410,-1617.238,1617.238,66.0000,310.497,242.051,104.940,60.728,479.103,-2.110, 2.131, 0.406,-1.385,-6.052,-15.686,0.00000,0.00000,-0.68462,126.50692,-0.02953,-0.02953,0.03395,0.03650,0.03650,-0.03722,-1.38538,0.03493,0.70218,-80.00000,0.06164,-98.00000,-0.00828,-9.00000,-2.00000
1720652924.606924,422.000,316.000,64.000,418.000,320.000,66.000,410.000,330.000,66.000, 0.061, 0.071,-4.000, 4.000,-4.000, 4.000,-65.410,65.410,-113.445,141.806,-681.162,1083.340,66.0000,311.189,240.473,105.418,60.119,477.347,-2.115, 2.140, 0.417,-1.594,-6.754,-15.473,0.00000,0.00000,-0.78540,127.27922,-0.03167,-0.03167,0.05844,0.03231,0.03231,-0.05003,-1.59378,0.03781,1.00000,-90.00000,-0.15196,-90.00000,-0.00795,-8.00000,0.00000
1720652924.669764,418.000,320.000,66.000,410.000,330.000,66.000,394.000,344.000,65.000, 0.071, 0.063,-8.000,10.000,-8.000,10.000,-113.445,141.806,-254.631,222.802,-2246.911,1289.018,65.0000,312.646,239.745,106.053,60.148,474.211,-2.128, 2.156, 0.420,-1.732,-7.591,-14.702,0.00000,0.00000,-0.95237,127.64012,-0.03580,-0.03580,0.08633,0.02325,0.02325,-0.09039,-1.73221,0.04006,1.00000,-104.00000,-0.58409,-74.00000,-0.00829,-7.00000,0.00000
1720652924.731918,410.000,330.000,66.000,394.000,344.000,65.000,370.000,358.000,63.000, 0.063, 0.062,-16.000,14.000,-16.000,14.000,-254.631,222.802,-385.627,224.949,-2104.810,34.491,63.0000,314.557,238.922,106.715,59.906,474.713,-2.129, 2.154, 0.413,-1.606,-7.344,-14.575,0.00000,0.00000,-1.17000,128.15615,-0.04257,-0.04257,0.09241,0.01113,0.01113,-0.12942,-1.60594,0.03959,1.00000,-118.00000,-1.00000,-50.00000,-0.01496,-5.00000,1.00000
