time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ballang,ballradscale,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1719351878.427653,246.000,146.000,67.000,232.000,156.000,70.000,220.000,170.000,69.000, 0.068, 0.060,-14.000,10.000,-14.000,10.000,-206.508,147.505,-200.030,233.368,107.984,1431.251,319.912,242.756,107.537,62.256,479.033,-2.127, 2.131, 0.237,-0.247,-1.407,-11.307,2.53087,122.06556,-0.24709,0.06858,-0.17500,70.00000,-0.25000,100.00000,-0.06926,0.00000,-2.00000
1719351878.493827,232.000,156.000,70.000,220.000,170.000,69.000,206.000,188.000,67.000, 0.060, 0.066,-12.000,14.000,-12.000,14.000,-200.030,233.368,-211.490,271.916,-173.129,582.325,319.721,242.220,107.372,62.234,478.287,-2.132, 2.134, 0.232,-0.197,-1.482,-10.954,2.71364,125.29964,-0.19711,0.06818,-0.13000,52.00000,-0.28500,114.00000,-0.06926,0.00000,-2.00000
1719351878.55966,220.000,170.000,69.000,206.000,188.000,67.000,194.000,212.000,70.000, 0.066, 0.066,-14.000,18.000,-14.000,18.000,-211.490,271.916,-182.230,364.459,444.345,1405.345,320.003,241.528,107.360,62.579,475.755,-2.155, 2.153, 0.210,-0.108,-2.007,-9.148,2.92292,129.07362,-0.10843,0.06734,-0.07000,28.00000,-0.31500,126.00000,-0.06926,0.00000,-1.00000
1719351878.631828,206.000,188.000,67.000,194.000,212.000,70.000,192.000,244.000,67.000, 0.066, 0.072,-12.000,24.000,-12.000,24.000,-182.230,364.459,-27.705,443.288,2140.583,1091.987,319.943,241.212,107.374,62.354,476.628,-2.153, 2.151, 0.217,-0.123,-2.081,-9.419,-3.11035,128.06248,-0.12325,0.06755,0.01000,-4.00000,-0.32000,128.00000,-0.06926,0.00000,-1.00000
1719351878.696098,194.000,212.000,70.000,192.000,244.000,67.000,192.000,274.000,69.000, 0.072, 0.064,-2.000,32.000,-2.000,32.000,-27.705,443.288, 0.000,467.589,431.826,378.768,320.132,240.348,107.388,62.288,474.334,-2.164, 2.161, 0.210,-0.108,-2.474,-8.646,-2.88196,132.43867,-0.10774,0.06745,0.08500,-34.00000,-0.32000,128.00000,-0.06926,0.00000,0.00000
1719351878.766336,192.000,244.000,67.000,192.000,274.000,69.000,208.000,308.000,68.000, 0.064, 0.070, 0.000,30.000, 0.000,30.000, 0.000,467.589,227.670,483.798,3239.596,230.649,320.565,239.777,107.374,62.367,473.533,-2.174, 2.166, 0.219,-0.005,-3.135,-8.416,-2.59594,131.02671,-0.00513,0.06643,0.17000,-68.00000,-0.28000,112.00000,-0.06926,0.00000,0.00000
1719351878.8290539,192.000,274.000,69.000,208.000,308.000,68.000,230.000,332.000,66.000, 0.070, 0.063,16.000,34.000,16.000,34.000,227.670,483.798,350.520,382.385,1957.334,-1615.787,320.767,238.975,107.263,62.173,473.974,-2.174, 2.162, 0.187, 0.160,-2.121,-7.766,-2.34521,128.70120,0.15967,0.06470,0.23000,-92.00000,-0.22500,90.00000,-0.06926,0.00000,1.00000
1719351878.89973,208.000,308.000,68.000,230.000,332.000,66.000,258.000,356.000,67.000, 0.063, 0.071,22.000,24.000,22.000,24.000,350.520,382.385,396.347,339.726,648.702,-603.848,320.131,237.450,106.881,61.751,474.739,-2.182, 2.160, 0.341,-0.073,-6.843,-11.102,-2.06165,131.52946,-0.07349,0.06707,0.29000,-116.00000,-0.15500,62.00000,-0.06926,0.00000,2.00000
1719351878.960404,230.000,332.000,66.000,258.000,356.000,67.000,288.000,364.000,64.000, 0.071, 0.061,28.000,24.000,28.000,24.000,396.347,339.726,494.699,131.920,1621.811,-3426.724,319.483,237.618,106.069,62.633,468.358,-2.210, 2.184, 0.176, 0.499,-3.412,-5.759,-1.82335,128.06248,0.49871,0.06110,0.31000,-124.00000,-0.08000,32.00000,-0.06926,0.00000,2.00000
1719351879.021677,258.000,356.000,67.000,288.000,364.000,64.000,320.000,370.000,66.000, 0.061, 0.061,30.000, 8.000,30.000, 8.000,494.699,131.920,521.505,97.782,436.866,-556.339,319.861,236.901,106.165,62.440,467.041,-2.218, 2.192, 0.146, 0.558,-2.998,-4.582,-1.57080,130.00000,0.55846,0.06022,0.32500,-130.00000,0.00000,-0.00000,-0.06926,0.00000,3.00000
