time,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z,dt1,dt2,ds1x,ds1y,ds2x,ds2y,v1x,v1y,v2x,v2y,ax,ay,px,py,tvx,tvy,tvz,rvx,rvy,rvz,heading,roll,pitch,ballang,ballradscale,headerr,heading_pid_out,pitch_pid_out,pitcherr,roll_pid_out,rollerr,x_pid_out,xerr,yerr
1719262145.992437,226.000,326.000,65.000,222.000,326.000,67.000,224.000,322.000,66.000, 0.065, 0.065,-4.000, 0.000,-4.000, 0.000,-61.724, 0.000,30.735,-61.469,1420.840,-944.622,334.003,255.690,115.003,67.282,468.398,-2.175, 2.219, 0.152,-1.272,-2.644,-5.232,-2.43468,126.25371,-1.27209,0.12077,0.96564,-82.00000,-0.68243,96.00000,-1.00000,14.00000,-15.00000
1719262146.053298,222.000,326.000,67.000,224.000,322.000,66.000,222.000,322.000,66.000, 0.065, 0.061, 2.000,-4.000, 2.000,-4.000,30.735,-61.469,-32.855, 0.000,-1044.633,1009.797,333.959,255.839,114.956,67.379,468.364, 2.218,-2.262,-0.160,-1.260,-2.824,-5.337,-2.44485,127.78106,-1.26038,0.12129,1.00000,-82.00000,-0.74609,98.00000,-1.00000,13.00000,-15.00000
1719262146.127208,224.000,322.000,66.000,222.000,322.000,66.000,222.000,320.000,65.000, 0.061, 0.074,-2.000, 0.000,-2.000, 0.000,-32.855, 0.000, 0.000,-27.058,444.495,-366.061,333.552,254.243,114.623,66.957,465.581, 2.201,-2.242,-0.150,-1.189,-3.644,-4.071,-2.45698,126.50692,-1.18900,0.12117,1.00000,-80.00000,-0.76371,98.00000,-1.00000,13.00000,-14.00000
1719262146.1914082,222.000,322.000,66.000,222.000,320.000,65.000,222.000,314.000,65.000, 0.074, 0.064, 0.000,-2.000, 0.000,-2.000, 0.000,-27.058, 0.000,-93.464, 0.000,-1034.422,333.843,249.985,113.761,66.095,459.978, 2.188,-2.208,-0.069,-0.557,-3.107,-0.512,-2.49483,122.80065,-0.55721,0.11513,0.99195,-74.00000,-0.79635,98.00000,-1.00000,13.00000,-9.00000
1719262146.2557921,222.000,320.000,65.000,222.000,314.000,65.000,224.000,304.000,66.000, 0.064, 0.064, 0.000,-6.000, 0.000,-6.000, 0.000,-93.464,31.065,-155.326,482.521,-960.875,334.087,248.089,113.448,65.694,459.487, 2.191,-2.200, 0.004,-0.224,-1.395, 1.599,-2.55359,115.37764,-0.22387,0.11191,0.95692,-64.00000,-0.81230,96.00000,-1.00000,14.00000,-8.00000
1719262146.3216362,222.000,314.000,65.000,224.000,304.000,66.000,224.000,290.000,66.000, 0.064, 0.066, 2.000,-10.000, 2.000,-10.000,31.065,-155.326, 0.000,-212.701,-471.969,-871.693,333.288,246.542,113.600,64.370,455.849, 2.168,-2.191, 0.042,-0.552,-1.299, 3.482,-2.66142,108.24047,-0.55164,0.11546,0.91989,-50.00000,-0.85928,96.00000,-1.00000,13.00000,-6.00000
1719262146.3854668,224.000,304.000,66.000,224.000,290.000,66.000,218.000,274.000,65.000, 0.066, 0.064, 0.000,-14.000, 0.000,-14.000, 0.000,-212.701,-93.957,-250.553,-1471.331,-592.752,334.721,244.795,114.446,63.297,453.677, 2.159,-2.187, 0.087,-0.728,-0.484, 5.020,-2.81984,107.51744,-0.72821,0.11759,0.89688,-34.00000,-0.94129,102.00000,-1.00000,14.00000,-4.00000
1719262146.460195,224.000,290.000,66.000,218.000,274.000,65.000,210.000,250.000,65.000, 0.064, 0.075,-6.000,-16.000,-6.000,-16.000,-93.957,-250.553,-107.065,-321.194,-175.418,-945.401,333.989,244.557,114.172,63.114,453.042, 2.155,-2.185, 0.078,-0.755,-0.871, 4.969,-3.05093,110.45361,-0.75503,0.11823,0.82482,-10.00000,-0.99694,110.00000,-1.00000,13.00000,-4.00000
1719262146.523944,218.000,274.000,65.000,210.000,250.000,65.000,208.000,224.000,66.000, 0.075, 0.064,-8.000,-24.000,-8.000,-24.000,-107.065,-321.194,-31.371,-407.825,1187.298,-1358.844,333.999,244.366,113.730,63.424,452.511, 2.157,-2.177, 0.075,-0.474,-1.153, 5.067,2.99970,113.13708,-0.47404,0.11566,0.79148,16.00000,-0.99019,112.00000,-1.00000,13.00000,-4.00000
1719262146.586109,210.000,250.000,65.000,208.000,224.000,66.000,216.000,196.000,65.000, 0.064, 0.062,-2.000,-26.000,-2.000,-26.000,-31.371,-407.825,128.714,-450.500,2575.665,-686.624,333.815,243.769,114.215,62.796,452.765, 2.159,-2.191, 0.123,-0.867, 0.636, 5.781,2.74135,112.92475,-0.86736,0.12003,0.74781,44.00000,-0.94575,104.00000,-1.00000,13.00000,-3.00000
